,Label,Object1,Object2,Object3,Object4,Action,Acteur
0,airport inside,485,181,419,16,1416,1765
1,airport inside,201,92,472,485,1396,1763
2,airport inside,376,181,107,419,1422,1769
3,airport inside,152,372,16,181,1332,1765
4,airport inside,419,485,371,31,1396,1769
5,airport inside,846,33,201,394,1396,1765
6,airport inside,181,90,377,31,1376,1763
7,airport inside,107,372,31,243,1422,1765
8,airport inside,181,329,107,372,1415,1769
9,airport inside,90,472,485,223,1420,1769
10,airport inside,223,181,107,152,1422,1769
11,airport inside,33,329,485,394,1420,1763
12,airport inside,372,419,23,223,1365,1765
13,airport inside,15,107,33,152,1376,1765
14,airport inside,33,371,152,16,1415,1765
15,airport inside,181,92,223,16,1415,1752
16,airport inside,223,107,201,371,1422,1752
17,airport inside,394,152,472,485,1381,1763
18,airport inside,23,107,419,90,1422,1752
19,airport inside,846,201,329,472,1332,1763
20,airport inside,152,181,23,107,1396,1763
21,airport inside,485,846,181,472,1396,1765
22,airport inside,419,92,181,376,1381,1765
23,airport inside,23,300,372,376,1365,1752
24,airport inside,92,181,377,371,1420,1763
25,airport inside,92,201,371,376,1396,1769
26,airport inside,419,846,300,15,1376,1763
27,airport inside,846,377,394,201,1416,1765
28,airport inside,90,16,472,223,1332,1765
29,airport inside,23,329,300,472,1376,1752
30,airport inside,152,394,329,181,1365,1752
31,airport inside,15,223,394,485,1420,1763
32,airport inside,472,15,419,329,1415,1752
33,airport inside,181,472,107,90,1416,1752
34,airport inside,300,223,201,243,1396,1765
35,airport inside,16,371,223,485,1396,1752
36,airport inside,33,181,376,243,1420,1752
37,airport inside,92,329,16,377,1415,1769
38,airport inside,223,329,371,300,1376,1763
39,airport inside,223,376,846,394,1376,1752
40,airport inside,23,107,371,181,1420,1763
41,airport inside,23,107,201,394,1381,1765
42,airport inside,181,394,107,90,1381,1763
43,airport inside,31,16,377,371,1416,1769
44,airport inside,300,33,243,485,1376,1769
45,airport inside,394,33,107,90,1381,1769
46,airport inside,846,329,16,371,1415,1752
47,airport inside,33,90,300,152,1365,1765
48,airport inside,152,15,472,181,1365,1765
49,airport inside,377,33,371,419,1332,1763
50,airport inside,181,419,15,152,1332,1765
51,airport inside,90,152,394,419,1420,1769
52,airport inside,419,300,107,243,1365,1769
53,airport inside,92,33,31,300,1365,1752
54,airport inside,181,376,485,472,1416,1752
55,airport inside,107,394,152,33,1420,1769
56,airport inside,472,201,152,90,1416,1765
57,airport inside,377,31,243,485,1332,1765
58,airport inside,376,394,15,16,1332,1765
59,airport inside,23,243,394,15,1376,1763
60,airport inside,846,371,16,107,1396,1752
61,airport inside,90,31,181,376,1415,1752
62,airport inside,485,33,372,329,1381,1752
63,airport inside,376,90,394,243,1332,1752
64,airport inside,472,223,329,846,1365,1769
65,airport inside,846,300,371,329,1365,1769
66,airport inside,394,90,372,846,1422,1763
67,airport inside,16,201,846,92,1381,1765
68,airport inside,485,223,243,33,1416,1769
69,airport inside,152,372,371,300,1420,1752
70,airport inside,181,16,152,419,1416,1765
71,airport inside,394,472,371,372,1422,1763
72,airport inside,377,16,243,33,1415,1769
73,airport inside,181,15,300,419,1381,1769
74,airport inside,372,33,152,376,1420,1752
75,airport inside,201,846,472,419,1365,1769
76,airport inside,300,15,472,181,1365,1752
77,airport inside,31,372,376,223,1381,1765
78,airport inside,377,300,394,33,1332,1752
79,airport inside,376,16,394,846,1381,1763
80,airport inside,846,152,201,394,1422,1769
81,airport inside,394,472,376,419,1416,1765
82,airport inside,90,846,371,243,1396,1763
83,airport inside,152,16,223,31,1416,1752
84,airport inside,371,846,243,92,1422,1769
85,airport inside,107,377,329,472,1420,1765
86,airport inside,16,181,372,152,1365,1752
87,airport inside,394,90,377,371,1365,1763
88,airport inside,23,846,243,394,1376,1752
89,airport inside,33,107,377,300,1420,1769
90,airport inside,23,31,92,485,1376,1765
91,airport inside,371,846,377,223,1376,1769
92,airport inside,243,33,31,394,1422,1763
93,airport inside,90,371,223,15,1420,1752
94,airport inside,846,201,372,223,1396,1765
95,airport inside,394,107,472,23,1415,1752
96,airport inside,16,376,31,300,1422,1769
97,airport inside,90,92,394,201,1415,1763
98,airport inside,329,472,300,223,1365,1752
99,airport inside,372,223,300,371,1415,1752
100,Aquarium,5,276,427,480,1386,1442
101,Aquarium,181,115,481,178,546,1765
102,Aquarium,181,5,472,115,1329,1757
103,Aquarium,481,181,427,115,547,1757
104,Aquarium,481,5,480,276,1386,1765
105,Aquarium,427,276,115,472,546,1442
106,Aquarium,5,480,178,481,1386,1757
107,Aquarium,481,472,115,178,1386,1765
108,Aquarium,5,427,115,480,1386,1442
109,Aquarium,5,480,115,472,547,1765
110,Aquarium,472,427,181,276,1386,1442
111,Aquarium,276,480,481,472,548,1765
112,Aquarium,5,178,181,427,1329,1757
113,Aquarium,427,276,5,472,548,1442
114,Aquarium,427,5,178,472,1386,1757
115,Aquarium,178,5,480,181,546,1442
116,Aquarium,480,5,115,178,546,1442
117,Aquarium,276,5,115,472,548,1442
118,Aquarium,5,427,178,276,1329,1442
119,Aquarium,427,480,178,115,547,1765
120,Aquarium,481,276,472,480,546,1757
121,Aquarium,472,178,276,481,1329,1765
122,Aquarium,115,472,481,427,546,1442
123,Aquarium,178,480,472,276,548,1757
124,Aquarium,115,181,178,427,1386,1765
125,Aquarium,472,427,5,276,546,1757
126,Aquarium,276,472,481,427,547,1765
127,Aquarium,480,178,115,472,1386,1757
128,Aquarium,115,178,427,480,1386,1765
129,Aquarium,481,115,181,5,1386,1765
130,Aquarium,5,276,427,480,1386,1442
131,Aquarium,178,276,5,115,548,1442
132,Aquarium,181,115,178,276,547,1765
133,Aquarium,427,178,115,481,1329,1442
134,Aquarium,427,480,5,472,1386,1442
135,Aquarium,5,115,178,276,548,1757
136,Aquarium,276,181,480,472,547,1757
137,Aquarium,5,480,178,427,547,1765
138,Aquarium,480,276,481,427,548,1765
139,Aquarium,115,276,472,181,1329,1442
140,Aquarium,178,181,276,115,1329,1757
141,Aquarium,178,427,181,276,1329,1757
142,Aquarium,115,276,181,427,547,1765
143,Aquarium,480,481,181,276,1386,1442
144,Aquarium,181,427,178,472,546,1442
145,Aquarium,427,5,181,472,547,1757
146,Aquarium,427,276,472,5,1386,1757
147,Aquarium,427,181,5,481,547,1442
148,Aquarium,178,427,481,5,1386,1765
149,Aquarium,181,472,427,5,1329,1765
150,Aquarium,115,276,427,472,548,1765
151,Aquarium,481,115,427,472,547,1757
152,Aquarium,5,276,181,481,1329,1765
153,Aquarium,276,472,181,481,1329,1442
154,Aquarium,480,276,472,115,1386,1765
155,Aquarium,181,5,427,178,548,1442
156,Aquarium,481,276,480,472,1386,1757
157,Aquarium,115,5,481,178,1329,1442
158,Aquarium,5,178,427,480,1386,1765
159,Aquarium,181,480,481,5,546,1765
160,Aquarium,5,427,115,480,548,1757
161,Aquarium,480,427,472,181,1329,1765
162,Aquarium,276,472,427,5,546,1757
163,Aquarium,427,480,181,115,548,1765
164,Aquarium,115,181,480,5,1386,1757
165,Aquarium,178,481,115,5,1329,1757
166,Aquarium,276,480,5,472,546,1757
167,Aquarium,481,427,181,115,1329,1765
168,Aquarium,276,181,115,178,548,1765
169,Aquarium,472,276,181,115,1386,1757
170,Aquarium,480,115,181,5,546,1442
171,Aquarium,181,472,178,427,547,1765
172,Aquarium,5,178,181,427,546,1442
173,Aquarium,481,181,427,276,548,1442
174,Aquarium,276,480,427,5,1386,1442
175,Aquarium,115,276,472,178,546,1765
176,Aquarium,481,178,276,115,1386,1442
177,Aquarium,472,427,276,115,1386,1765
178,Aquarium,178,472,427,276,548,1765
179,Aquarium,276,181,178,472,1386,1757
180,Aquarium,5,276,427,181,1386,1757
181,Aquarium,178,481,5,472,546,1757
182,Aquarium,276,115,481,472,1329,1442
183,Aquarium,178,276,5,427,1386,1442
184,Aquarium,427,181,472,481,1329,1765
185,Aquarium,472,427,276,181,1386,1765
186,Aquarium,5,276,181,472,1386,1442
187,Aquarium,481,276,181,5,546,1765
188,Aquarium,115,472,181,5,548,1757
189,Aquarium,115,276,472,481,548,1757
190,Aquarium,472,181,427,481,1386,1757
191,Aquarium,276,181,5,178,548,1765
192,Aquarium,178,427,481,472,547,1442
193,Aquarium,427,480,472,178,1329,1757
194,Aquarium,276,115,481,5,1329,1757
195,Aquarium,472,178,115,5,546,1442
196,Aquarium,480,276,5,481,1386,1442
197,Aquarium,5,115,181,472,1386,1442
198,Aquarium,5,276,481,480,1329,1442
199,Aquarium,178,115,481,480,546,1442
200,Armory,95,472,11,67,1086,1446
201,Armory,255,71,472,352,554,1446
202,Armory,67,340,225,11,1369,1446
203,Armory,181,255,95,225,1369,1446
204,Armory,472,255,482,352,1086,1446
205,Armory,71,95,472,482,1369,1446
206,Armory,482,225,255,71,554,1446
207,Armory,352,71,181,472,1369,1446
208,Armory,472,225,95,340,554,1446
209,Armory,340,67,482,71,1086,1446
210,Armory,95,225,71,67,1369,1446
211,Armory,95,225,340,67,1086,1446
212,Armory,67,482,472,340,554,1446
213,Armory,11,225,340,67,1369,1446
214,Armory,11,181,225,67,554,1446
215,Armory,472,482,71,67,554,1446
216,Armory,482,95,11,181,1369,1446
217,Armory,340,95,67,181,554,1446
218,Armory,181,482,71,255,1086,1446
219,Armory,71,352,340,255,554,1446
220,Armory,71,340,67,95,1086,1446
221,Armory,11,95,67,340,554,1446
222,Armory,482,95,340,181,1086,1446
223,Armory,95,225,255,352,1086,1446
224,Armory,352,472,181,11,1369,1446
225,Armory,11,255,482,340,1086,1446
226,Armory,352,472,67,482,1086,1446
227,Armory,340,71,95,352,1369,1446
228,Armory,352,225,255,472,1086,1446
229,Armory,472,71,67,181,1086,1446
230,Armory,67,11,472,482,1369,1446
231,Armory,95,71,67,482,1086,1446
232,Armory,181,255,67,11,1086,1446
233,Armory,225,181,472,67,1086,1446
234,Armory,340,352,11,472,554,1446
235,Armory,181,67,71,340,1369,1446
236,Armory,95,340,482,71,1369,1446
237,Armory,340,71,352,472,1369,1446
238,Armory,482,225,71,11,1369,1446
239,Armory,340,225,352,181,1369,1446
240,Armory,181,67,255,95,554,1446
241,Armory,340,11,71,472,1369,1446
242,Armory,67,352,340,472,554,1446
243,Armory,472,482,225,67,1369,1446
244,Armory,482,472,67,11,1086,1446
245,Armory,352,482,255,340,1086,1446
246,Armory,472,340,255,67,554,1446
247,Armory,71,472,352,255,1086,1446
248,Armory,472,181,67,255,1086,1446
249,Armory,95,255,472,482,1086,1446
250,Armory,11,71,340,181,554,1446
251,Armory,181,67,340,255,1086,1446
252,Armory,95,11,340,472,1086,1446
253,Armory,340,11,255,225,1369,1446
254,Armory,225,482,11,95,1086,1446
255,Armory,225,181,352,255,1369,1446
256,Armory,225,340,71,67,554,1446
257,Armory,225,95,11,472,554,1446
258,Armory,71,340,472,482,554,1446
259,Armory,71,95,225,482,554,1446
260,Armory,67,352,472,482,1369,1446
261,Armory,181,67,95,11,1369,1446
262,Armory,352,67,340,472,1086,1446
263,Armory,95,482,225,71,1086,1446
264,Armory,71,472,11,352,554,1446
265,Armory,181,95,472,255,1086,1446
266,Armory,352,472,67,340,554,1446
267,Armory,340,11,95,71,1369,1446
268,Armory,340,71,67,482,1369,1446
269,Armory,255,352,95,482,1369,1446
270,Armory,225,482,340,67,1369,1446
271,Armory,340,255,352,67,1086,1446
272,Armory,472,482,340,67,1369,1446
273,Armory,255,352,67,95,554,1446
